subject,action,feature,group,means_shift,std_shift
subject_1,1,MAV,1,-0.25034214181,1.6344309458
subject_1,1,ZC,1,0.0288209085846,0.581965431551
subject_1,1,SSC,1,-0.0239915821176,0.440899980891
subject_1,1,WL,1,-0.236146901454,333.972877788
subject_1,1,MAV,2,0.303998592225,0.249541570831
subject_1,1,ZC,2,-0.0659886553452,0.439875609873
subject_1,1,SSC,2,0.0266568014604,1.10622306596
subject_1,1,WL,2,0.222809530875,46.180897678
subject_1,1,MAV,3,-0.243225183241,1.90360507853
subject_1,1,ZC,3,0.0335414826118,0.414638783918
subject_1,1,SSC,3,-0.0318870804885,0.431933297648
subject_1,1,WL,3,-0.223253986566,338.693537355
subject_1,1,MAV,4,-0.243225183241,1.90360507853
subject_1,1,ZC,4,0.0335414826118,0.414638783918
subject_1,1,SSC,4,-0.0318870804885,0.431933297648
subject_1,1,WL,4,-0.223253986566,338.693537355
subject_1,2,MAV,1,-0.060784948395,1.25017174032
subject_1,2,ZC,1,0.0356730927665,1.26036272967
subject_1,2,SSC,1,-0.00348949345244,1.57065271342
subject_1,2,WL,1,-0.00308159949322,164.092775454
subject_1,2,MAV,2,-0.0230518033573,1.10254198487
subject_1,2,ZC,2,0.0572048814832,0.327010630457
subject_1,2,SSC,2,-0.0143016774127,0.242931346487
subject_1,2,WL,2,0.0135634455333,139.039011609
subject_1,2,MAV,3,0.0834436336605,0.814964247281
subject_1,2,ZC,3,0.0471513147778,1.40733766677
subject_1,2,SSC,3,-0.0316985028394,1.6150582747
subject_1,2,WL,3,0.141974146944,118.280454872
subject_1,2,MAV,4,0.0834436336605,0.814964247281
subject_1,2,ZC,4,0.0471513147778,1.40733766677
subject_1,2,SSC,4,-0.0316985028394,1.6150582747
subject_1,2,WL,4,0.141974146944,118.280454872
subject_1,3,MAV,1,-0.191692166577,1.77844598682
subject_1,3,ZC,1,0.0545247742944,0.65915878027
subject_1,3,SSC,1,-0.0336932144161,0.526444986765
subject_1,3,WL,1,-0.155175768481,386.506986332
subject_1,3,MAV,2,0.136618103444,0.710481597447
subject_1,3,ZC,2,-0.033884613125,0.7230563176
subject_1,3,SSC,2,0.0201385045586,0.547403972572
subject_1,3,WL,2,0.087787695644,117.978881832
subject_1,3,MAV,3,-0.144257142496,2.19217224348
subject_1,3,ZC,3,-0.00797421731123,0.368835359905
subject_1,3,SSC,3,-0.00983863259043,0.293224894457
subject_1,3,WL,3,-0.140905007749,397.904742595
subject_1,3,MAV,4,-0.144257142496,2.19217224348
subject_1,3,ZC,4,-0.00797421731123,0.368835359905
subject_1,3,SSC,4,-0.00983863259043,0.293224894457
subject_1,3,WL,4,-0.140905007749,397.904742595
subject_1,4,MAV,1,0.0583602608879,0.938625110848
